"year","quarter","day_of_week_num","day_of_week_label","hour_of_day","arrivals_n","hours_observed","arrival_rate_per_hour","interarrival_n","mean_interarrival_min","median_interarrival_min","p75_interarrival_min","p90_interarrival_min","p95_interarrival_min","sd_interarrival_min","min_interarrival_min","max_interarrival_min"
"2025","1","1","Monday","0","57","13","4.3846","57","13.89","10.50","21.00","28.00","29.80","10.18","1.00","40.00"
"2025","1","1","Monday","1","63","13","4.8462","62","13.10","11.00","16.75","28.46","37.73","11.33","0.37","58.00"
"2025","1","1","Monday","2","47","13","3.6154","47","16.00","13.80","22.50","35.26","44.20","13.62","1.00","54.00"
"2025","1","1","Monday","3","36","13","2.7692","36","17.83","13.00","24.00","36.00","47.49","17.76","1.85","89.00"
"2025","1","1","Monday","4","40","13","3.0769","40","21.05","13.00","28.91","53.96","66.82","20.63","1.00","80.00"
"2025","1","1","Monday","5","40","13","3.0769","39","17.77","12.00","25.00","37.60","54.60","17.79","1.00","70.00"
"2025","1","1","Monday","6","30","13","2.3077","30","27.10","18.50","35.75","50.40","92.55","27.43","1.00","104.00"
"2025","1","1","Monday","7","52","13","4.0000","51","17.65","10.00","21.12","47.00","63.00","20.23","0.03","77.00"
"2025","1","1","Monday","8","100","13","7.6923","100","8.28","5.00","9.00","15.22","24.05","10.41","0.45","67.00"
"2025","1","1","Monday","9","135","13","10.3846","132","6.43","4.00","8.00","15.90","18.45","6.34","0.05","47.00"
"2025","1","1","Monday","10","183","13","14.0769","179","4.35","3.00","5.00","9.03","12.00","3.95","0.07","29.00"
"2025","1","1","Monday","11","185","13","14.2308","183","4.26","3.00","5.00","9.00","12.00","3.95","0.07","31.00"
"2025","1","1","Monday","12","167","13","12.8462","161","4.53","3.00","6.00","10.00","12.00","3.87","0.08","24.00"
"2025","1","1","Monday","13","172","13","13.2308","166","5.16","3.00","6.00","10.50","12.00","5.17","0.05","35.00"
"2025","1","1","Monday","14","131","13","10.0769","130","5.87","4.00","6.75","11.55","17.06","5.74","0.38","38.00"
"2025","1","1","Monday","15","150","13","11.5385","150","5.25","3.00","6.00","11.00","17.00","4.67","1.00","25.00"
"2025","1","1","Monday","16","140","13","10.7692","139","5.41","4.00","7.00","13.00","16.00","4.51","0.17","20.85"
"2025","1","1","Monday","17","145","13","11.1538","143","5.48","4.00","7.00","11.00","15.90","5.07","0.27","28.00"
"2025","1","1","Monday","18","145","13","11.1538","139","5.50","3.00","6.00","11.20","18.05","5.96","0.65","35.00"
"2025","1","1","Monday","19","150","13","11.5385","147","5.57","4.00","7.00","12.00","14.00","5.49","0.33","45.00"
"2025","1","1","Monday","20","105","13","8.0769","104","7.07","5.00","10.00","16.40","20.85","6.47","0.38","31.00"
"2025","1","1","Monday","21","95","13","7.3077","93","8.54","7.00","12.00","16.95","21.80","6.43","0.18","29.00"
"2025","1","1","Monday","22","77","13","5.9231","77","9.42","8.00","14.00","19.40","25.00","7.07","1.00","28.00"
"2025","1","1","Monday","23","61","13","4.6923","61","11.08","7.00","13.00","23.00","33.00","12.75","1.00","85.00"
"2025","1","2","Tuesday","0","54","12","4.5000","54","13.31","8.50","20.00","31.50","37.75","12.41","1.00","54.00"
"2025","1","2","Tuesday","1","32","12","2.6667","31","19.74","13.00","30.00","37.00","51.50","17.49","1.00","71.00"
"2025","1","2","Tuesday","2","44","12","3.6667","43","21.51","16.00","25.50","51.97","57.70","20.2","1.00","92.00"
"2025","1","2","Tuesday","3","34","12","2.8333","34","16.69","13.50","21.25","30.40","48.96","13.44","2.00","54.00"
"2025","1","2","Tuesday","4","30","12","2.5000","30","18.88","12.00","28.75","41.80","49.55","19.09","1.00","86.00"
"2025","1","2","Tuesday","5","40","12","3.3333","39","23.41","13.00","33.00","56.80","67.90","24.6","2.00","99.42"
"2025","1","2","Tuesday","6","38","12","3.1667","37","17.65","10.00","24.00","41.00","53.00","17.03","1.00","64.00"
"2025","1","2","Tuesday","7","45","12","3.7500","44","18.50","13.00","22.75","47.40","50.00","17.21","1.00","73.93"
"2025","1","2","Tuesday","8","77","12","6.4167","76","11.14","8.82","15.00","21.00","23.19","10.69","0.28","66.00"
"2025","1","2","Tuesday","9","108","12","9.0000","105","6.74","5.00","8.00","14.96","19.00","6.1","0.25","31.00"
"2025","1","2","Tuesday","10","156","12","13.0000","154","4.78","3.00","5.00","9.00","13.09","5.1","0.48","35.00"
"2025","1","2","Tuesday","11","148","12","12.3333","144","5.05","4.00","6.00","11.00","14.00","4.8","0.80","38.00"
"2025","1","2","Tuesday","12","153","12","12.7500","152","4.87","3.67","5.00","10.00","13.00","4.75","0.43","29.00"
"2025","1","2","Tuesday","13","144","12","12.0000","139","5.00","4.00","6.00","9.00","12.93","4.05","0.33","23.00"
"2025","1","2","Tuesday","14","136","12","11.3333","136","5.25","4.00","5.03","11.50","16.25","4.8","0.58","25.00"
"2025","1","2","Tuesday","15","128","12","10.6667","126","5.63","4.00","7.00","12.00","15.75","4.69","0.38","31.00"
"2025","1","2","Tuesday","16","112","12","9.3333","110","6.58","4.00","8.75","14.00","21.65","6.54","0.03","35.00"
"2025","1","2","Tuesday","17","136","12","11.3333","132","5.54","4.00","7.00","11.00","13.45","4.95","0.20","34.00"
"2025","1","2","Tuesday","18","146","12","12.1667","141","5.02","3.77","6.60","10.00","13.00","4.62","0.28","32.00"
"2025","1","2","Tuesday","19","139","12","11.5833","139","5.39","4.00","6.73","12.00","14.20","4.6","0.57","26.00"
"2025","1","2","Tuesday","20","120","12","10.0000","117","5.95","4.00","8.00","14.40","17.20","5.32","0.60","27.00"
"2025","1","2","Tuesday","21","94","12","7.8333","93","7.38","5.20","9.95","17.00","19.73","6","0.20","25.00"
"2025","1","2","Tuesday","22","78","12","6.5000","78","9.01","7.50","12.00","18.17","22.30","6.57","1.00","28.00"
"2025","1","2","Tuesday","23","72","12","6.0000","72","10.28","7.00","13.25","21.90","29.19","8.9","0.05","42.00"
"2025","1","3","Wednesday","0","53","13","4.0769","51","11.34","10.00","15.00","22.00","31.00","9.43","1.00","40.00"
"2025","1","3","Wednesday","1","52","13","4.0000","52","16.27","11.08","24.00","40.10","45.25","15.67","1.00","76.00"
"2025","1","3","Wednesday","2","30","13","2.3077","30","26.52","18.00","34.50","55.67","65.72","23.74","1.00","105.75"
"2025","1","3","Wednesday","3","34","13","2.6154","34","20.09","18.00","31.00","36.70","43.75","15.7","1.00","71.00"
"2025","1","3","Wednesday","4","41","13","3.1538","41","18.55","14.00","24.00","47.00","52.00","19.45","0.35","96.00"
"2025","1","3","Wednesday","5","32","13","2.4615","31","22.05","13.00","34.00","53.00","62.46","21.76","1.00","85.00"
"2025","1","3","Wednesday","6","33","13","2.5385","33","27.38","19.00","37.00","70.60","90.40","29.67","1.00","120.00"
"2025","1","3","Wednesday","7","51","13","3.9231","51","19.49","14.00","23.00","47.00","58.50","18.64","2.00","82.00"
"2025","1","3","Wednesday","8","79","13","6.0769","79","9.96","6.00","13.50","23.60","28.40","9.3","0.20","41.00"
"2025","1","3","Wednesday","9","113","13","8.6923","112","7.27","5.00","8.25","16.90","20.90","6.62","1.00","30.00"
"2025","1","3","Wednesday","10","134","13","10.3077","132","5.53","4.00","7.00","12.00","14.45","4.48","0.25","24.00"
"2025","1","3","Wednesday","11","155","13","11.9231","152","5.32","4.00","7.00","11.00","15.45","5.1","0.07","36.00"
"2025","1","3","Wednesday","12","133","13","10.2308","131","5.73","4.00","7.00","13.00","16.50","5.01","0.05","25.00"
"2025","1","3","Wednesday","13","149","13","11.4615","147","5.48","3.00","6.37","11.73","19.72","5.34","0.25","28.00"
