"year","quarter","day_of_week_num","hour_of_day","attribute_name","attribute_value","n_obs","probability"
"2025","1","1","0","acuity","1","2","0.0351"
"2025","1","1","0","acuity","2","18","0.3158"
"2025","1","1","0","acuity","3","33","0.5789"
"2025","1","1","0","acuity","4","3","0.0526"
"2025","1","1","0","acuity","5","1","0.0175"
"2025","1","1","0","age_group","18-64","38","0.6667"
"2025","1","1","0","age_group","65-84","14","0.2456"
"2025","1","1","0","age_group","85+","2","0.0351"
"2025","1","1","0","age_group","<18","3","0.0526"
"2025","1","1","0","arrival_mode","ground_ambulance","16","0.2807"
"2025","1","1","0","arrival_mode","self_presented","41","0.7193"
"2025","1","1","0","behavioral_health_flag","0","57","1.0000"
"2025","1","1","0","complexity_bucket","critical_care","9","0.1579"
"2025","1","1","0","complexity_bucket","high","28","0.4912"
"2025","1","1","0","complexity_bucket","low","6","0.1053"
"2025","1","1","0","complexity_bucket","moderate","13","0.2281"
"2025","1","1","0","complexity_bucket","straightforward","1","0.0175"
"2025","1","1","1","acuity","1","1","0.0159"
"2025","1","1","1","acuity","2","18","0.2857"
"2025","1","1","1","acuity","3","34","0.5397"
"2025","1","1","1","acuity","4","7","0.1111"
"2025","1","1","1","acuity","5","3","0.0476"
"2025","1","1","1","age_group","18-64","49","0.7778"
"2025","1","1","1","age_group","65-84","8","0.1270"
"2025","1","1","1","age_group","85+","4","0.0635"
"2025","1","1","1","age_group","<18","2","0.0317"
"2025","1","1","1","arrival_mode","ground_ambulance","19","0.3016"
"2025","1","1","1","arrival_mode","self_presented","44","0.6984"
"2025","1","1","1","behavioral_health_flag","0","62","0.9841"
"2025","1","1","1","behavioral_health_flag","1","1","0.0159"
"2025","1","1","1","complexity_bucket","critical_care","9","0.1429"
"2025","1","1","1","complexity_bucket","high","34","0.5397"
"2025","1","1","1","complexity_bucket","low","6","0.0952"
"2025","1","1","1","complexity_bucket","moderate","10","0.1587"
"2025","1","1","1","complexity_bucket","UNKNOWN","4","0.0635"
"2025","1","1","2","acuity","1","1","0.0213"
"2025","1","1","2","acuity","2","14","0.2979"
"2025","1","1","2","acuity","3","25","0.5319"
"2025","1","1","2","acuity","4","5","0.1064"
"2025","1","1","2","acuity","5","2","0.0426"
"2025","1","1","2","age_group","18-64","33","0.7021"
"2025","1","1","2","age_group","65-84","7","0.1489"
"2025","1","1","2","age_group","85+","5","0.1064"
"2025","1","1","2","age_group","<18","2","0.0426"
"2025","1","1","2","arrival_mode","ground_ambulance","10","0.2128"
"2025","1","1","2","arrival_mode","police_custody","1","0.0213"
"2025","1","1","2","arrival_mode","self_presented","36","0.7660"
"2025","1","1","2","behavioral_health_flag","0","44","0.9362"
"2025","1","1","2","behavioral_health_flag","1","3","0.0638"
"2025","1","1","2","complexity_bucket","critical_care","3","0.0638"
"2025","1","1","2","complexity_bucket","high","26","0.5532"
"2025","1","1","2","complexity_bucket","low","7","0.1489"
"2025","1","1","2","complexity_bucket","minimal","1","0.0213"
"2025","1","1","2","complexity_bucket","moderate","7","0.1489"
"2025","1","1","2","complexity_bucket","straightforward","1","0.0213"
"2025","1","1","2","complexity_bucket","UNKNOWN","2","0.0426"
"2025","1","1","3","acuity","1","1","0.0278"
"2025","1","1","3","acuity","2","12","0.3333"
"2025","1","1","3","acuity","3","21","0.5833"
"2025","1","1","3","acuity","4","1","0.0278"
"2025","1","1","3","acuity","5","1","0.0278"
"2025","1","1","3","age_group","18-64","29","0.8056"
"2025","1","1","3","age_group","65-84","4","0.1111"
"2025","1","1","3","age_group","85+","2","0.0556"
"2025","1","1","3","age_group","<18","1","0.0278"
"2025","1","1","3","arrival_mode","ground_ambulance","10","0.2778"
"2025","1","1","3","arrival_mode","self_presented","26","0.7222"
"2025","1","1","3","behavioral_health_flag","0","34","0.9444"
"2025","1","1","3","behavioral_health_flag","1","2","0.0556"
"2025","1","1","3","complexity_bucket","critical_care","2","0.0556"
"2025","1","1","3","complexity_bucket","high","24","0.6667"
"2025","1","1","3","complexity_bucket","low","5","0.1389"
"2025","1","1","3","complexity_bucket","moderate","4","0.1111"
"2025","1","1","3","complexity_bucket","UNKNOWN","1","0.0278"
"2025","1","1","4","acuity","2","9","0.2250"
"2025","1","1","4","acuity","3","25","0.6250"
"2025","1","1","4","acuity","4","3","0.0750"
"2025","1","1","4","acuity","5","2","0.0500"
"2025","1","1","4","acuity","UNKNOWN","1","0.0250"
"2025","1","1","4","age_group","18-64","27","0.6750"
"2025","1","1","4","age_group","65-84","9","0.2250"
"2025","1","1","4","age_group","85+","1","0.0250"
"2025","1","1","4","age_group","<18","3","0.0750"
"2025","1","1","4","arrival_mode","ground_ambulance","6","0.1500"
"2025","1","1","4","arrival_mode","self_presented","34","0.8500"
"2025","1","1","4","behavioral_health_flag","0","40","1.0000"
"2025","1","1","4","complexity_bucket","critical_care","5","0.1250"
"2025","1","1","4","complexity_bucket","high","15","0.3750"
"2025","1","1","4","complexity_bucket","low","6","0.1500"
"2025","1","1","4","complexity_bucket","moderate","12","0.3000"
"2025","1","1","4","complexity_bucket","straightforward","1","0.0250"
"2025","1","1","4","complexity_bucket","UNKNOWN","1","0.0250"
"2025","1","1","5","acuity","2","10","0.2500"
"2025","1","1","5","acuity","3","25","0.6250"
"2025","1","1","5","acuity","4","5","0.1250"
"2025","1","1","5","age_group","18-64","32","0.8000"
"2025","1","1","5","age_group","65-84","5","0.1250"
"2025","1","1","5","age_group","85+","2","0.0500"
"2025","1","1","5","age_group","<18","1","0.0250"
"2025","1","1","5","arrival_mode","ground_ambulance","9","0.2250"
"2025","1","1","5","arrival_mode","self_presented","31","0.7750"
"2025","1","1","5","behavioral_health_flag","0","40","1.0000"
"2025","1","1","5","complexity_bucket","critical_care","3","0.0750"
"2025","1","1","5","complexity_bucket","high","19","0.4750"
"2025","1","1","5","complexity_bucket","low","4","0.1000"
"2025","1","1","5","complexity_bucket","moderate","11","0.2750"
"2025","1","1","5","complexity_bucket","straightforward","1","0.0250"
"2025","1","1","5","complexity_bucket","UNKNOWN","2","0.0500"
"2025","1","1","6","acuity","2","9","0.3000"
"2025","1","1","6","acuity","3","17","0.5667"
"2025","1","1","6","acuity","4","4","0.1333"
"2025","1","1","6","age_group","18-64","23","0.7667"
"2025","1","1","6","age_group","65-84","7","0.2333"
"2025","1","1","6","arrival_mode","ground_ambulance","8","0.2667"
"2025","1","1","6","arrival_mode","self_presented","22","0.7333"
"2025","1","1","6","behavioral_health_flag","0","28","0.9333"
"2025","1","1","6","behavioral_health_flag","1","2","0.0667"
"2025","1","1","6","complexity_bucket","high","20","0.6667"
"2025","1","1","6","complexity_bucket","moderate","8","0.2667"
"2025","1","1","6","complexity_bucket","straightforward","1","0.0333"
"2025","1","1","6","complexity_bucket","UNKNOWN","1","0.0333"
"2025","1","1","7","acuity","1","1","0.0192"
"2025","1","1","7","acuity","2","9","0.1731"
